Département;Bassin de formation;Rue;Secteur;Nom;Voie;Lieu-dit;Boite postale;Code postal;Commune;Téléphone;Fax;Adresse électronique;Site internet;Responsable;Nombre d'étudiants
﻿Ardèche;ARDECHE VERTE;0071300A;Public;COLLEGE LA LOMBARDIERE;Rue Jacques Prévert ;QUARTIER LA LOMBARDIERE ;;07100;ANNONAY;0475323970;0475320967;ce.0071300A@ac-grenoble.fr;https://la-lombardiere.ent.auvergnerhonealpes.fr;"LE PRINCIPAL : MME PRUVOT MILLET EMMANUELLE
LE PRINCIPAL ADJOINT : MME MONNERON PASCALE
LE GESTIONNAIRE : MME GAILLARD MARION
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC";500
Ardèche;ARDECHE VERTE;0071156U;Public;COLLEGE LES PERRIERES;53 rue EMILE BOUSCHON ;;BP187;07104;ANNONAY;0475670720;0475332712;ce.0071156U@ac-grenoble.fr;https://college-les-perrieres-annonay.web.ac-grenoble.fr;"LE PRINCIPAL : M. BONNEVILLE BERNARD
LE PRINCIPAL ADJOINT : MME BOUR-DORCHAIN SANDRINE
LE GESTIONNAIRE : MME DAFRI HAMAE
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC";300
Ardèche;ARDECHE VERTE;0070059B;Privé sous-contrat;COLLEGE PRIVE NOTRE DAME;10 rue SAUZEAT ;;;07100;ANNONAY;0475324260;0475324269;ce.0070059B@ac-grenoble.fr;https://www.cpnd.fr;"LE DIRECTEUR : M. LECA LAURENT
LE DIRECTEUR ADJOINT : MME FRACHISSE FABIENNE
L  ADJOINT AU CHEF D ETABLISSEMENT : M. SERAYET GUY";420
Ardèche;ARDECHE VERTE;0070060C;Privé sous-contrat;COLLEGE PRIVE SAINT BASILE;10 avenue Rosa Parks ;;;07100;ANNONAY;0475334620;0475337382;ce.0070060C@ac-grenoble.fr;http://www.ensemblescolairesaintbasile.fr;"LE DIRECTEUR : MME ROBIN STEPHANIE
LE DIRECTEUR ADJOINT : M. FRAISSE DAVID
L  ADJOINT AU CHEF D ETABLISSEMENT : MME VERDIER AMANDINE";318
Ardèche;ARDECHE VERTE;0070001N;Public;LPO LYCEE DES METIERS BOISSY D'ANGLAS;50 avenue Jean Jaurès ;;CS40127;07104;ANNONAY;0475692550;0475333581;ce.0070001N@ac-grenoble.fr;https://boissy-anglas.ent.auvergnerhonealpes.fr;"LE PROVISEUR : M. PINTO DE SOUSA PIERRE
LE PROVISEUR ADJOINT : MME LARROQUE SABINE
LE GESTIONNAIRE : M. DOS SANTOS LUDOVIC
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC";213
Ardèche;ARDECHE VERTE;0071231A;Privé sous-contrat;LYCEE AGRICOLE PRIVE D'ANNONAY;Montée du savel ;MONTEE DU SAVEL         ;;07100;ANNONAY;0475330254;0475679512;annonay@cneap.fr;;"LE DIRECTEUR : MME VIRGINIE VALLEE
L AGENT COMPTABLE : M. VIALLARON ";183,4
Ardèche;ARDECHE VERTE;0071126L;Privé sous-contrat;LYCEE GENERAL ET TECHNOL PR SAINT DENIS;1 chemin DE LA MUETTE ;;CS40154;07101;ANNONAY;0475692800;0475692801;ce.0071126L@ac-grenoble.fr;http://www.lyceesaintdenis.com/;"LE DIRECTEUR : M. HAUBERDON FRANCOIS
LE DIRECTEUR ADJOINT : M. TEYSSIER PIERRE HENRI";127,8
﻿Ardèche;ARDECHE VERTE;0070002P;Public;LYCEE PROFESSIONNEL JOSEPH ET ETIENNE MONTGOLFIER;17 rue DU CAPITAINE DE CANSON ;;;07100;ANNONAY;0475324150;0475324151;ce.0070002P@ac-grenoble.fr;http://montgolfier.elycee.rhonealpes.fr;"LE PROVISEUR : MME REBOULET MARIE-LAURE
LE GESTIONNAIRE : MME MAIGNANT LYDIA
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC";72,2
Ardèche;ARDECHE VERTE;0070100W;Privé sous-contrat;LYCEE PROFESSIONNEL PRIVE MARC SEGUIN;1 avenue Rosa Parks ;;;07100;ANNONAY;0475324050;0475324059;ce.0070100W@ac-grenoble.fr;http://lyceemarcseguin.eu;"LE DIRECTEUR : M. FERRAND DAVID
LE DIRECTEUR ADJOINT : M. ROZE ARNAUD";16,6
Ardèche;ARDECHE VERTE;0071157V;Public;SEGPA CLG LES PERRIERES;53 rue EMILE BOUSCHON ;;BP187;07104;ANNONAY;0475670720;0475332712;ce.0071157V@ac-grenoble.fr;http://www.ac-grenoble.fr/college/annonay.perrieres;"LE PRINCIPAL : M. BONNEVILLE BERNARD
LE PRINCIPAL ADJOINT : MME FAVIER AGNES
LE GESTIONNAIRE : MME DAFRI HAMAE
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC";-39
Ardèche;ARDECHE MERIDIONALE;0071245R;Public;COLLEGE DE JASTRES;12 boulevard DE LA CORNICHE ;;;07200;AUBENAS;0475355533;0475930053;ce.0071245R@ac-grenoble.fr;http://www.ac-grenoble.fr/college/jastres.aubenas;"LE PRINCIPAL : MME LAMAIRE NADIA
LE GESTIONNAIRE : MME MARTINEZ NATHALIE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";97
Ardèche;ARDECHE MERIDIONALE;0071169H;Public;COLLEGE ROQUA;Quartier Roqua ;;BP60200;07204;AUBENAS;0475935232;0475930100;ce.0071169H@ac-grenoble.fr;http://www.ac-grenoble.fr/college/roqua.aubenas;"LE PRINCIPAL : M. SOUCHON SYLVAIN
LE PRINCIPAL ADJOINT : MME GODEFROY FRANCOISE
LE GESTIONNAIRE : MME ZAOUANE CELINE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";160
Ardèche;ARDECHE MERIDIONALE;0070062E;Privé sous-contrat;COLLEGE PRIVE ST FRANCOIS D'ASSISE;2 boulevard DE LA CORNICHE ;;CS50083;07203;AUBENAS;0475356980;;Ce.0070062E@ac-grenoble.fr;http://www.st-francois-dassisse.eu/;"LE DIRECTEUR : M. GARCIA OLIVIER
LE DIRECTEUR ADJOINT : M. CAPRIOGLIO THOMAS";205
Ardèche;ARDECHE MERIDIONALE;0071125K;Public;LEGT PROFESSIONNEL AGRICOLE D'AUBENAS;76 chemin ripotier haut ;;BP150;07205;AUBENAS;0475351755;0475934619;epl.aubenas@educagri.fr;;"LE PROVISEUR : M. GOLBERG FRÉDÉRIC
LE PROVISEUR ADJOINT : M. BRILLANCEAU GUILLAUME
LE GESTIONNAIRE : M. GOUY GUILLAUME
L AGENT COMPTABLE : M. MARTIN THIERRY";650
﻿Ardèche;ARDECHE MERIDIONALE;0070004S;Public;LYCEE POLYVALENT ASTIER;Quartier Roqua ;;BP60145;07205;AUBENAS;0475350977;0475355971;ce.0070004S@ac-grenoble.fr;https://astier.ent.auvergnerhonealpes.fr;"LE PROVISEUR : M. THABUY GILLES
LE PROVISEUR ADJOINT : M. BENOIT VINCENT
LE GESTIONNAIRE : MME DUCLOCHER CORINNE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";320
Ardèche;ARDECHE MERIDIONALE;0070003R;Public;LYCEE POLYVALENT MARCEL GIMOND;Boulevard de l'Europe ;;BP20144;07205;AUBENAS;0475354088;0475355223;ce.0070003R@ac-grenoble.fr;https://lyceegimond.net/;"LE PROVISEUR : M. KRIAT MOSTAFA
LE PROVISEUR ADJOINT : M. CAPOT ALEX
LE GESTIONNAIRE : MME GILLET CAMILLE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE";258
Ardèche;ARDECHE MERIDIONALE;0070064G;Privé sous-contrat;LYCEE POLYVALENT PRIVE JULES FROMENT;3 rue ALBERT SEIBEL ;;CS50040;07201;AUBENAS;0475938000;0475352635;Ce.0070064G@ac-grenoble.fr;http://www.lycee-julesfroment.fr;"LE DIRECTEUR : M. BARTHELEMY RICHARD
LE DIRECTEUR ADJOINT : MME PONS CORINNE
L  ADJOINT AU CHEF D ETABLISSEMENT : MME UBEDA MAGALI";203
